0	2.81
0.5	2.86
1	2.93
1.5	3.01
2	3.12
2.5	3.25
3	3.42
3.5	3.72
4	4.31
4.5	5.19
5	5.74
5.5	6
6	6.22
6.5	6.4
7	6.56
7.5	6.71
8	6.85
8.5	6.97
9	7.1
9.5	7.26
10	7.43
10.5	7.64
11	7.92
11.5	8.27
12	8.69
12.5	9.03
13	9.24
13.5	9.41
14	9.56
14.5	9.66
15	9.76
15.5	9.89
16	9.92
16.5	9.98
17	10.03
17.5	10.08
18	10.12
18.5	10.17
19	10.21
19.5	10.25
20	10.29
